make,model,price,fuel,transmission,trim,drivetrain,car_age
Jeep,Grand Cherokee L,54209.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
RAM,3500,86505.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Dodge,Hornet,48595.0,Gasoline,1-Speed Automatic,Hornet R/T Plus Eawd,All-wheel Drive,1
Mazda,MX-5 Miata RF,38040.0,Gasoline,6-Speed Automatic,Grand Touring,Rear-wheel Drive,2
Acura,MDX,52950.0,Gasoline,1-Speed Automatic,Base,All-wheel Drive,1
Jeep,Grand Cherokee L,52567.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Wagoneer,87488.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Hyundai,IONIQ 5,43904.0,Electric,1-Speed Automatic,SE,All-wheel Drive,1
Chevrolet,Blazer EV,55090.0,Electric,1-Speed Automatic,RS,All-wheel Drive,1
Mercedes-Benz,EQS 450,110395.0,Electric,Automatic,Base 4MATIC,All-wheel Drive,1
Jeep,Grand Cherokee,44737.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Volkswagen,ID.4,41693.0,Electric,2-Speed Automatic,Standard,Rear-wheel Drive,1
Hyundai,Santa Cruz,41995.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Honda,CR-V,38855.0,Hybrid,Automatic,Hybrid Sport-L,Front-wheel Drive,1
Jeep,Grand Cherokee 4xe,58909.0,Gasoline,Automatic,Trailhawk,Four-wheel Drive,1
RAM,2500,65350.0,Gasoline,8-Speed Automatic,Big Horn,Four-wheel Drive,1
Jeep,Grand Cherokee L,49411.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Jeep,Wagoneer,72908.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Jeep,Compass,37105.0,Gasoline,8-Speed Automatic,Trailhawk,Four-wheel Drive,2
Dodge,Hornet,50590.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Chevrolet,Silverado 2500,70190.0,Diesel,Automatic,LT,Four-wheel Drive,1
Chevrolet,Equinox,25515.0,Gasoline,6-Speed Automatic,LS,Front-wheel Drive,1
Jeep,Wrangler,59542.0,Gasoline,Automatic,Rubicon,Four-wheel Drive,1
RAM,ProMaster 2500,53445.0,Gasoline,9-Speed Automatic,High Roof,Front-wheel Drive,1
RAM,2500,79675.0,Diesel,6-Speed Automatic,Laramie,Four-wheel Drive,1
GMC,Sierra 3500,87075.0,Diesel (B20 capable),1-Speed Automatic,SLT,Four-wheel Drive,1
Ford,Escape,34799.0,Gasoline,8-Speed Automatic,Active,All-wheel Drive,1
RAM,2500,67125.0,Diesel,6-Speed Automatic,Laramie,Four-wheel Drive,1
Jeep,Grand Cherokee L,46721.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Kia,EV6,43348.0,Electric,Automatic,Wind,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,56119.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Volkswagen,Taos,28193.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
Mazda,CX-90 PHEV,58949.0,PHEV Hybrid Fuel,Automatic,Premium Plus,All-wheel Drive,1
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Subaru,Legacy,31042.0,Gasoline,Automatic CVT,Premium,All-wheel Drive,1
Dodge,Hornet,34000.0,Gasoline,9-Speed Automatic,GT AWD,All-wheel Drive,1
Mazda,CX-90 PHEV,54449.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Ford,F-350,77885.0,Gasoline,1-Speed Automatic,Lariat Super Duty,Four-wheel Drive,1
Jeep,Compass,31535.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Mazda,CX-90 PHEV,50349.0,PHEV Hybrid Fuel,Automatic,Preferred,All-wheel Drive,1
Acura,MDX,56345.0,Gasoline,1-Speed Automatic,Technology,Front-wheel Drive,1
BMW,i4 Gran Coupe,73670.0,Electric,1-Speed Automatic,M50,All-wheel Drive,1
Mazda,CX-90 PHEV,50675.0,Hybrid,8-Speed Automatic,Preferred,All-wheel Drive,1
RAM,3500,64516.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Dodge,Hornet,36480.0,Gasoline,Automatic,GT,All-wheel Drive,1
Audi,Q8 e-tron,89780.0,Electric,Automatic,Premium,All-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
BMW,i7,110445.0,Electric,1-Speed Automatic,eDrive50,Rear-wheel Drive,1
Volkswagen,Jetta,26104.0,Gasoline,8-Speed Automatic,1.4T SE,Front-wheel Drive,1
Dodge,Hornet,42790.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
BMW,M235 Gran Coupe,54545.0,Gasoline,8-Speed Automatic,i xDrive,All-wheel Drive,1
RAM,3500,65774.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
Nissan,Rogue,34305.0,Gasoline,Automatic,SV,All-wheel Drive,1
Dodge,Hornet,44621.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Dodge,Hornet,39763.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
RAM,3500,67237.0,Diesel,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Honda,CR-V Hybrid,36900.0,Hybrid,Automatic CVT,Sport,All-wheel Drive,1
Ford,Expedition,90350.0,Gasoline,1-Speed Automatic,Limited,Four-wheel Drive,1
Ford,Expedition,83910.0,Gasoline,1-Speed Automatic,Timberline,Four-wheel Drive,1
Audi,Q8 e-tron,84465.0,Electric,Automatic,Premium,All-wheel Drive,1
Chevrolet,Silverado 1500,49944.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Kia,Sportage,32433.0,Gasoline,8-Speed Automatic,S,All-wheel Drive,1
Kia,Sportage,33095.0,Gasoline,8-Speed Automatic,SX,Front-wheel Drive,1
Kia,Sportage,39990.0,Gasoline,8-Speed Automatic,X-Pro Prestige,All-wheel Drive,1
Land Rover,Range Rover Evoque,62145.0,Gasoline,9-Speed Automatic,Dynamic SE,All-wheel Drive,1
Honda,Odyssey,48364.0,Gasoline,1-Speed Automatic,Elite,Front-wheel Drive,1
RAM,2500,83374.0,Diesel,Automatic,Longhorn,Four-wheel Drive,1
Chevrolet,Equinox,31222.0,Gasoline,6-Speed Automatic,FWD RS,Front-wheel Drive,1
GMC,Sierra 2500,85845.0,Diesel,1-Speed Automatic,Denali,Four-wheel Drive,1
Kia,Sportage,30034.0,Gasoline,8-Speed Automatic,S,Front-wheel Drive,1
Dodge,Durango,44170.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Audi,Q5 e,69995.0,Gasoline,7-Speed Automatic,Premium 55 TFSI e S line quattro S tronic,All-wheel Drive,1
Volkswagen,Jetta,27554.0,Gasoline,8-Speed Automatic,1.4T SE,Front-wheel Drive,1
Nissan,Titan,45716.0,Gasoline,Automatic,SV,Four-wheel Drive,1
Audi,RS e-tron GT,153690.0,Electric,1-Speed Automatic,quattro,All-wheel Drive,1
Ford,Edge,42715.0,Gasoline,8-Speed Automatic,ST-Line,All-wheel Drive,1
Hyundai,Santa Cruz,36970.0,Gasoline,8-Speed Automatic,2.5L SEL,All-wheel Drive,1
Volkswagen,Jetta,26329.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
Chevrolet,Equinox,30101.0,Gasoline,6-Speed Automatic,1LT,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,54899.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Kia,Sportage,32198.0,Gasoline,8-Speed Automatic,S,All-wheel Drive,1
Nissan,Titan,54585.0,Gasoline,Automatic,SV,Four-wheel Drive,1
Jeep,Compass,35999.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Hyundai,Tucson Hybrid,36882.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
INFINITI,QX50,45055.0,Gasoline,Variable,LUXE,Front-wheel Drive,1
RAM,3500,69697.0,Diesel,Automatic,Big Horn,Four-wheel Drive,1
Ford,Mustang Mach-E,49285.0,Electric,1-Speed Automatic,Premium,All-wheel Drive,1
Dodge,Durango,47785.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Wrangler 4xe,51083.0,Gasoline,8-Speed Automatic,Sport S,Four-wheel Drive,1
Kia,EV6,41528.0,Electric,Automatic,Wind,All-wheel Drive,1
Nissan,Kicks,27400.0,Gasoline,CVT,SR,Front-wheel Drive,1
Mazda,CX-90 PHEV,52445.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Hyundai,Tucson Hybrid,34600.0,Hybrid,6-Speed Automatic,Blue,All-wheel Drive,1
Dodge,Durango,47165.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Compass,34084.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Grand Cherokee,50184.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Hyundai,IONIQ 5,45842.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,1
Hyundai,Santa Cruz,40380.0,Gasoline,8-Speed Automatic,2.5T NIGHT,All-wheel Drive,1
Land Rover,Discovery Sport,55353.0,Gasoline,9-Speed Automatic,Dynamic SE,All-wheel Drive,1
Mercedes-Benz,Sprinter 3500,72357.0,Diesel,9-Speed Automatic,170 WB High Roof Extended Cargo,Rear-wheel Drive,1
Hyundai,Tucson Hybrid,34492.0,Hybrid,6-Speed Automatic,Blue,All-wheel Drive,1
Hyundai,Santa Cruz,36000.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Jeep,Grand Cherokee,53160.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,59116.0,Gasoline,Automatic,4x4,Four-wheel Drive,1
Jeep,Wrangler,67510.0,Gasoline,Automatic,Rubicon,Four-wheel Drive,1
Honda,Odyssey,48187.0,Gasoline,1-Speed Automatic,Elite,Front-wheel Drive,1
Volkswagen,Jetta,25923.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
Jeep,Grand Cherokee,50702.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Volvo,XC90 Recharge Plug-In Hybrid,75595.0,Hybrid,8-Speed Automatic,T8 Plus Bright Theme 7 Passenger,All-wheel Drive,1
Jeep,Wrangler 4xe,51845.0,Hybrid,8-Speed Automatic,Sport,Four-wheel Drive,1
Cadillac,XT5,60915.0,Gasoline,9-Speed Automatic,Premium Luxury,Front-wheel Drive,1
RAM,3500,71167.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
Hyundai,Santa Cruz,41975.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Jeep,Compass,38481.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Hyundai,Sonata Hybrid,32520.0,Hybrid,6-Speed Automatic,SEL,Front-wheel Drive,1
Kia,Sorento,48861.0,Gasoline,Automatic,SX,All-wheel Drive,2
Chevrolet,Equinox,31537.0,Gasoline,6-Speed Automatic,LS,All-wheel Drive,1
Jeep,Grand Cherokee,47175.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Dodge,Hornet,51585.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Jeep,Wagoneer L,86097.0,Gasoline,8-Speed Automatic,Series III,Four-wheel Drive,2
Mercedes-Benz,EQS 450,114850.0,Electric,1-Speed Automatic,Base 4MATIC,All-wheel Drive,1
Nissan,Frontier,37946.0,Gasoline,9-Speed Automatic,SV,Rear-wheel Drive,1
Chevrolet,Equinox,31301.0,Gasoline,6-Speed Automatic,1LT,All-wheel Drive,1
RAM,3500,63010.0,Gasoline,8-Speed Automatic,Tradesman,Four-wheel Drive,2
Nissan,Titan,50030.0,Gasoline,Automatic,SV,Four-wheel Drive,1
GMC,Savana 2500,42990.0,Gasoline,8-Speed Automatic,Work Van,Rear-wheel Drive,1
Chevrolet,Equinox,32635.0,Gasoline,6-Speed Automatic,RS,Front-wheel Drive,1
Nissan,Titan,46672.0,Gasoline,Automatic,SV,Four-wheel Drive,2
Honda,HR-V,27450.0,Gasoline,Automatic,LX,All-wheel Drive,1
Kia,Niro,34310.0,Gasoline,6-Speed Automatic,Touring,Front-wheel Drive,1
Buick,Encore GX,36190.0,Gasoline,9-Speed Automatic,Avenir,All-wheel Drive,1
Mazda,CX-90 PHEV,57849.0,PHEV Hybrid Fuel,Automatic,Premium Plus,All-wheel Drive,1
Ford,Edge,44615.0,Gasoline,8-Speed Automatic,SEL,All-wheel Drive,1
Kia,Sportage,34985.0,Gasoline,8-Speed Automatic,SX,Front-wheel Drive,1
Jeep,Compass,28867.0,Gasoline,Automatic,Latitude,Four-wheel Drive,1
RAM,ProMaster 2500,53890.0,Gasoline,9-Speed Automatic,High Roof,Front-wheel Drive,1
Hyundai,IONIQ 6,48510.0,Electric,Automatic,SEL,All-wheel Drive,1
Genesis,Electrified G80,81525.0,Electric,1-Speed Automatic,Base,All-wheel Drive,2
Hyundai,IONIQ 5,52515.0,Electric,1-Speed Automatic,Limited,All-wheel Drive,1
Hyundai,Tucson Hybrid,35364.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Hyundai,Tucson Hybrid,35885.0,Hybrid,6-Speed Automatic,N Line,All-wheel Drive,1
Mercedes-Benz,GLE 450,85630.0,Gasoline,9-Speed Automatic,4MATIC,All-wheel Drive,1
Jeep,Grand Cherokee,47530.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Jeep,Wagoneer,75888.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Chevrolet,Silverado 1500,49632.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Mazda,CX-90 PHEV,55439.0,Hybrid,8-Speed Automatic,Premium,All-wheel Drive,1
Volkswagen,Taos,30618.0,Gasoline,4-Speed Automatic,1.5T SE,All-wheel Drive,1
Mercedes-Benz,GLS 450,98180.0,Gasoline,9-Speed Automatic,4MATIC,All-wheel Drive,1
Dodge,Hornet,44604.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Acura,MDX,57650.0,Gasoline,1-Speed Automatic,Technology,All-wheel Drive,1
Jeep,Compass,32269.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Hyundai,IONIQ 5,42466.0,Electric,1-Speed Automatic,SE,All-wheel Drive,1
Dodge,Hornet,45051.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Land Rover,Discovery Sport,57508.0,Gasoline,9-Speed Automatic,Dynamic SE,All-wheel Drive,1
Ford,Transit-250,51803.0,Gasoline,Automatic,Base,Rear-wheel Drive,1
Mercedes-Benz,EQS 450,114160.0,Electric,1-Speed Automatic,Base 4MATIC,All-wheel Drive,1
Acura,MDX,56800.0,Gasoline,1-Speed Automatic,Technology,Front-wheel Drive,1
Jeep,Grand Cherokee L,52631.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Compass,38500.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Chevrolet,Trax,24680.0,Gasoline,6-Speed Automatic,LT,Front-wheel Drive,1
BMW,i5,96895.0,Electric,1-Speed Automatic,M60,All-wheel Drive,1
Jeep,Wrangler 4xe,54490.0,Gasoline,Automatic,Rubicon X,Four-wheel Drive,1
RAM,3500,80095.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Honda,Odyssey,44350.0,Gasoline,Automatic,Touring,Front-wheel Drive,1
RAM,ProMaster 3500,66375.0,Gasoline,Automatic,High Roof,Front-wheel Drive,2
BMW,i5,93335.0,Electric,1-Speed Automatic,M60,All-wheel Drive,1
Chevrolet,Silverado 1500,57635.0,Gasoline,Automatic,Custom Trail Boss,Four-wheel Drive,1
Chrysler,Pacifica,45300.0,Gasoline,4-Speed Automatic,Touring L,Front-wheel Drive,2
Jeep,Compass,28860.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Dodge,Hornet,34637.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Jeep,Grand Cherokee,50184.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Wagoneer L,87190.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Mazda,CX-90 PHEV,55399.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Hyundai,Tucson Hybrid,41391.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Ford,Bronco Sport,30020.0,Gasoline,8-Speed Automatic,Big Bend,Four-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
BMW,i5,74695.0,Electric,1-Speed Automatic,eDrive40,Rear-wheel Drive,1
Jeep,Grand Cherokee L,66360.0,Gasoline,Automatic,Overland,Four-wheel Drive,1
Nissan,Kicks,26500.0,Gasoline,CVT,SR,Front-wheel Drive,1
Dodge,Durango,53995.0,Gasoline,8-Speed Automatic,R/T,All-wheel Drive,2
Land Rover,Defender,77645.0,Gasoline,8-Speed Automatic,P400 X-Dynamic SE,Four-wheel Drive,1
Jeep,Wrangler 4xe,58648.0,Gasoline,8-Speed Automatic,Sahara,Four-wheel Drive,1
Chrysler,Pacifica,46450.0,Gasoline,9-Speed Automatic,Touring-L,All-wheel Drive,1
Ford,Edge,41195.0,Gasoline,8-Speed Automatic,SEL,All-wheel Drive,1
Jeep,Gladiator,46791.0,Gasoline,Automatic,Sport,Four-wheel Drive,1
GMC,Yukon XL,76648.0,Gasoline,Automatic,SLT,Rear-wheel Drive,1
Audi,SQ8 e-tron,106215.0,Electric,Automatic,Premium Plus,All-wheel Drive,1
Dodge,Durango,47165.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Audi,Q5 e,78695.0,Gasoline,7-Speed Automatic,55 Prestige,All-wheel Drive,1
BMW,X7,115445.0,Gasoline,8-Speed Automatic,M60i,All-wheel Drive,1
Jeep,Compass,34182.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Kia,Sorento Hybrid,39390.0,Hybrid,Automatic,EX,Front-wheel Drive,1
Dodge,Hornet,38546.0,Gasoline,4-Speed Automatic,GT Plus AWD,All-wheel Drive,1
Kia,Seltos,28630.0,Gasoline,Automatic CVT,S,All-wheel Drive,1
RAM,2500,61865.0,Gasoline,8-Speed Automatic,Tradesman,Four-wheel Drive,1
Jeep,Compass,26860.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Jeep,Compass,29826.0,Gasoline,8-Speed Automatic,Latitude Lux,Four-wheel Drive,1
Dodge,Hornet,42597.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Kia,Niro,37135.0,Hybrid,Automatic,SX Touring,Front-wheel Drive,1
Dodge,Hornet,52180.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Dodge,Hornet,30900.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,61506.0,Gasoline,Automatic,Anniversary Edition,Four-wheel Drive,1
Buick,Envision,37135.0,Gasoline,9-Speed Automatic,Preferred,All-wheel Drive,2
Ford,Escape,33590.0,Hybrid,CVT,ST-Line,Front-wheel Drive,1
Ford,Escape,41765.0,Hybrid,CVT,S,Front-wheel Drive,1
Jeep,Grand Cherokee L,50377.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Chevrolet,Silverado 1500,65416.0,Gasoline,automatic w/paddle shifters,LT Trail Boss,Four-wheel Drive,1
Hyundai,Santa Cruz,43299.0,Gasoline,8-Speed Automatic,2.5T Limited,All-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Grand Cherokee,47744.0,Gasoline,Automatic,Limited,Four-wheel Drive,1
Jeep,Grand Cherokee L,53455.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Ford,Transit-250,52853.0,Gasoline,Automatic,Base,Rear-wheel Drive,1
Ford,Bronco,69035.0,Gasoline,1-Speed Automatic,Wildtrak,Four-wheel Drive,1
Kia,Niro,31860.0,Gasoline,A/T,EX,Front-wheel Drive,1
Subaru,Outback,44354.0,Gasoline,Automatic CVT,Wilderness,All-wheel Drive,1
Hyundai,Elantra HEV,27080.0,Hybrid,Automatic,Blue,Front-wheel Drive,1
Acura,MDX,56800.0,Gasoline,1-Speed Automatic,Technology,Front-wheel Drive,1
Ford,Mustang Mach-E,49770.0,Electric,1-Speed Automatic,Premium,All-wheel Drive,1
Ford,Mustang Mach-E,46775.0,Electric,1-Speed Automatic,GT,All-wheel Drive,2
RAM,3500,64214.0,Diesel,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
RAM,3500,82523.0,Diesel,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Mercedes-Benz,EQS 450,117985.0,Electric,Automatic,Base 4MATIC,All-wheel Drive,1
Chevrolet,Silverado 1500,49496.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Chevrolet,Silverado 1500,43135.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Jeep,Compass,28867.0,Gasoline,Automatic,Latitude,Four-wheel Drive,1
Kia,Sportage,35490.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Hyundai,Tucson Hybrid,33109.0,Hybrid,6-Speed Automatic,Blue,All-wheel Drive,1
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Hyundai,Tucson Hybrid,39832.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Hyundai,IONIQ 5,51765.0,Electric,1-Speed Automatic,Limited,All-wheel Drive,1
Ford,Mustang Mach-E,45780.0,Electric,1-Speed Automatic,Select,All-wheel Drive,1
